Chr	Start	End	Strand	Feature	ID	Description	No. Sublocations	No. Probes	Difference	Mean Galaxy106-[R1_G7control_K27me3.bam].bam	StDev Galaxy106-[R1_G7control_K27me3.bam].bam	Mean Galaxy119-[R4_G7_EPZ_K27me3.bam].bam	StDev Galaxy119-[R4_G7_EPZ_K27me3.bam].bam
2	20667240	20671425	+	GDF7-201	ENSP00000272224	growth differentiation factor 7 [Source:HGNC Symbol;Acc:HGNC:4222]	2	1	0.6840219497680664	5.7259154	0.0	5.0418935	0.0
2	44942105	44944760	+	SIX3-201	ENSP00000260653	SIX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:10889]	2	1	0.7297897338867188	2.0091822	0.0	1.2793925	0.0
2	170818592	170829585	+	GAD1-207	ENSP00000402366	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	3	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170822116	+	GAD1-206	ENSP00000394948	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	2	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170859882	+	GAD1-202	ENSP00000350928	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	16	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170842605	+	GAD1-201	ENSP00000341167	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	6	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170845569	+	GAD1-204	ENSP00000403849	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	6	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170830991	+	GAD1-208	ENSP00000405917	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	4	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170831008	+	GAD1-209	ENSP00000394255	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	4	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170849332	+	GAD1-216	ENSP00000434696	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	12	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170842605	+	GAD1-203	ENSP00000364421	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	6	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
2	170818592	170849332	+	GAD1-217	ENSP00000486612	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	12	1	0.586345911026001	4.15852	0.0	3.5721743	0.0
3	12900983	13282982	-	IQSEC1-208	ENSP00000497029	IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112]	16	1	1.068018913269043	5.041496	0.0	3.973477	0.0
3	12900983	13073014	-	IQSEC1-204	ENSP00000480301	IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112]	14	1	1.068018913269043	5.041496	0.0	3.973477	0.0
4	6026228	6112850	-	JAKMIP1-202	ENSP00000386711	janus kinase and microtubule interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26460]	20	1	0.5651094913482666	3.880126	0.0	3.3150165	0.0
4	6026228	6112850	-	JAKMIP1-203	ENSP00000387042	janus kinase and microtubule interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26460]	18	1	0.5651094913482666	3.880126	0.0	3.3150165	0.0
4	6053975	6112850	-	JAKMIP1-201	ENSP00000282924	janus kinase and microtubule interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26460]	12	1	0.5651094913482666	3.880126	0.0	3.3150165	0.0
4	6053975	6112850	-	JAKMIP1-204	ENSP00000386925	janus kinase and microtubule interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26460]	12	1	0.5651094913482666	3.880126	0.0	3.3150165	0.0
4	6053975	6112850	-	JAKMIP1-205	ENSP00000386745	janus kinase and microtubule interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26460]	11	1	0.5651094913482666	3.880126	0.0	3.3150165	0.0
4	6054801	6112850	-	JAKMIP1-207	ENSP00000422004	janus kinase and microtubule interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26460]	12	1	0.5651094913482666	3.880126	0.0	3.3150165	0.0
4	6323302	6535319	-	PPP2R2C-204	ENSP00000423649	protein phosphatase 2 regulatory subunit Bgamma [Source:HGNC Symbol;Acc:HGNC:9306]	9	1	0.7123327255249023	5.8425817	0.0	5.130249	0.0
4	6323302	6472229	-	PPP2R2C-203	ENSP00000372042	protein phosphatase 2 regulatory subunit Bgamma [Source:HGNC Symbol;Acc:HGNC:9306]	9	1	0.7123327255249023	5.8425817	0.0	5.130249	0.0
4	6323302	6535319	-	PPP2R2C-206	ENSP00000425247	protein phosphatase 2 regulatory subunit Bgamma [Source:HGNC Symbol;Acc:HGNC:9306]	9	1	0.7123327255249023	5.8425817	0.0	5.130249	0.0
4	8269969	8306136	+	HTRA3-201	ENSP00000303766	HtrA serine peptidase 3 [Source:HGNC Symbol;Acc:HGNC:30406]	9	1	0.6548852920532227	4.7088766	0.0	4.0539913	0.0
4	8269969	8295717	+	HTRA3-202	ENSP00000371952	HtrA serine peptidase 3 [Source:HGNC Symbol;Acc:HGNC:30406]	7	1	0.6548852920532227	4.7088766	0.0	4.0539913	0.0
